C0012102	MONDO:0005729
C0012147	MONDO:0024608
C0012236	MONDO:0008564
C0012482	MONDO:0000298
C0012517	MONDO:0005731
C0012546	MONDO:0005504
C0012553	MONDO:0020838
C0012554	MONDO:0020843
C0012555	MONDO:0001479
C0012557	MONDO:0020863
C0012561	MONDO:0015260
C0012602	MONDO:0015636
C0012634	MONDO:0000001
C0012714	MONDO:0017762
C0012715	MONDO:0002279
C0013080	MONDO:0008608
C0013100	MONDO:0016472
C0013238	MONDO:0006733
C0013240	MONDO:0001752
C0013261	MONDO:0007473
C0013274	MONDO:0011827
C0013288	MONDO:0001979
C0013295	MONDO:0005412
C0013299	MONDO:0006735
C0013338	MONDO:0006909
C0013364	MONDO:0009131
C0013369	MONDO:0001517
C0013370	MONDO:0024275
C0013371	MONDO:0019345
C0013374	MONDO:0001342
C0013395	MONDO:0002268
C0013418	MONDO:0006737
C0013447	MONDO:0021205
C0013449	MONDO:0021233
C0013473	MONDO:0005451
C0013502	MONDO:0005738
C0013514	MONDO:0005739
C0013533	MONDO:0005740
C0013537	MONDO:0001754
C0013568	MONDO:0001404
C0013570	MONDO:0005717
C0013575	MONDO:0019287
C0013578	MONDO:0002875
C0013720	MONDO:0020066
C0013743	MONDO:0019944
C0013884	MONDO:0005761
C0013903	MONDO:0009162
C0013927	MONDO:0850046
C0014008	MONDO:0006740
C0014009	MONDO:0005242
C0014014	MONDO:0005999
C0014040	MONDO:0019384
C0014057	MONDO:0019209
C0014060	MONDO:0005969
C0014061	MONDO:0017572
C0014066	MONDO:0015394
C0014077	MONDO:0011716
C0014078	MONDO:0006005
C0014084	MONDO:0008145
C0014130	MONDO:0005151
C0014132	MONDO:0002082
C0014238	MONDO:0024315
C0014356	MONDO:0009172
C0014378	MONDO:0005747
C0014511	MONDO:0007547
C0014733	MONDO:0001266
C0014736	MONDO:0006751
C0014743	MONDO:0850231
C0014804	MONDO:0016028
C0014805	MONDO:0007571
C0014836	MONDO:0020920
C0014869	MONDO:0006896
C0015029	MONDO:0005756
C0015190	MONDO:0006755
C0015231	MONDO:0000337
C0015306	MONDO:0005508
C0015405	MONDO:0020944
C0015406	MONDO:0020947
C0015407	MONDO:0020950
